deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
41,2023-06-04 20:20:19,AVAXUSDT,5m,long,19.98,14.81,16.7385,14.715,13.02,0.64,14.89,14.71,0.54,0.68,NULL,NULL,loss,NULL,
42,2023-06-04 21:45:15,APTUSDT,5m,long,34.27,9.3458,11.17208,9.29336,19.54,0.56,9.3967,9.2868,0.54,0.63,NULL,NULL,loss,NULL,
43,2023-06-05 13:40:32,GALAUSDT,5m,short,4.23,0.0289,0.0282065,0.0290615,2.4,0.56,0.02887,0.02908,0.1,0.62,NULL,NULL,loss,NULL,
44,2023-06-05 13:55:35,LINAUSDT,5m,short,3.17,0.015154,0.0144035,0.01538675,4.95,1.54,0.014997,0.015498,1.04,2.27,NULL,NULL,loss,NULL,
45,2023-06-05 14:05:39,EDUUSDT,5m,long,7.07,1.13533,1.2194715,1.1236165,7.41,1.03,1.13967,1.12,0.38,1.35,NULL,NULL,loss,NULL,
46,2023-06-05 14:15:36,NEARUSDT,5m,long,29.34,1.644,1.9556,1.63355,18.95,0.64,1.656,1.632,0.73,0.73,NULL,NULL,loss,NULL,
47,2023-06-05 14:25:32,NEARUSDT,5m,long,35.21,1.65,1.9559,1.64145,18.54,0.52,1.656,1.641,0.36,0.55,NULL,NULL,loss,NULL,
48,2023-06-05 14:40:25,DYDXUSDT,5m,long,5.23,2.133,2.2793,2.10545,6.86,1.29,2.14,2.103,0.33,1.41,NULL,NULL,loss,NULL,
49,2023-06-05 15:45:25,MAGICUSDT,5m,short,5.45,0.9795,0.949005,0.98501,3.11,0.56,0.9788,0.9872,0.07,0.79,NULL,NULL,loss,NULL,
50,2023-06-05 15:45:37,LUNAUSDT,5m,short,5.71,0.8615,0.820175,0.868625,4.8,0.83,0.8604,0.8688,0.13,0.85,NULL,NULL,loss,NULL,
51,2023-06-05 16:45:32,GALAUSDT,5m,long,2.09,0.02913,0.029776,0.028826,2.22,1.04,0.02924,0.02872,0.38,1.41,NULL,NULL,loss,NULL,
52,2023-06-05 18:05:08,ETHUSDT,5m,short,3.74,1859.76,1824.3155,1869.0795,1.91,0.5,1820.29,1865.68,2.12,0.32,NULL,NULL,win,NULL,
53,2023-06-05 18:05:22,DOGEUSDT,5m,short,18.0,0.07105,0.062709,0.071506,11.74,0.64,0.06311,0.07168,11.18,0.89,NULL,NULL,loss,NULL,
54,2023-06-05 18:05:23,MATICUSDT,5m,short,3.99,0.8816,0.85272,0.888725,3.28,0.81,0.8504,0.883,3.54,0.16,NULL,NULL,win,NULL,
55,2023-06-05 18:05:34,GALAUSDT,5m,short,2.07,0.02878,0.0282005,0.0290555,2.01,0.96,0.02808,0.02888,2.43,0.35,NULL,NULL,win,NULL,
56,2023-06-05 18:05:36,SUIUSDT,5m,short,9.69,0.8695,0.6956,0.88717,20.0,2.03,0.5836,0.8774,32.88,0.91,NULL,NULL,win,NULL,
57,2023-06-05 18:05:40,PEPEUSDT,5m,short,5.9,1.14e-06,9.12e-07,1.178e-06,20.0,3.33,9.5e-07,1.19e-06,16.67,4.39,NULL,NULL,loss,NULL,
58,2023-06-05 18:15:09,ETHUSDT,5m,short,4.64,1859.98,1792.8055,1874.2395,3.61,0.77,1786.22,1859.98,3.97,0.0,NULL,NULL,win,NULL,
59,2023-06-05 18:15:25,MATICUSDT,5m,short,6.03,0.8806,0.85267,0.88516,3.17,0.52,0.8504,0.8806,3.43,0.0,NULL,NULL,win,NULL,
60,2023-06-05 18:15:40,EDUUSDT,5m,short,9.78,1.08636,0.938293,1.1012655,13.63,1.37,0.93633,1.08636,13.81,0.0,NULL,NULL,win,NULL,
61,2023-06-05 18:20:21,DOTUSDT,5m,short,16.21,5.211,4.71035,5.2414,9.61,0.58,4.9,5.25,5.97,0.75,NULL,NULL,loss,NULL,
62,2023-06-05 18:20:42,LUNAUSDT,5m,short,2.31,0.8427,0.82237,0.851345,2.41,1.03,0.8153,0.849,3.25,0.75,NULL,NULL,win,NULL,
63,2023-06-05 18:40:24,DYDXUSDT,5m,long,6.08,2.183,2.41195,2.14595,10.49,1.7,2.184,2.127,0.05,2.57,NULL,NULL,loss,NULL,
64,2023-06-05 18:55:24,DOGEUSDT,5m,short,3.74,0.07007,0.066023,0.071134,5.78,1.52,0.065,0.07012,7.24,0.07,NULL,NULL,win,NULL,
65,2023-06-05 18:55:35,GALAUSDT,5m,short,3.9,0.02762,0.025663,0.028114,7.09,1.79,0.02566,0.02802,7.1,1.45,NULL,NULL,win,NULL,
66,2023-06-05 18:55:38,SUIUSDT,5m,short,4.46,0.841,0.6728,0.878145,20.0,4.42,0.5836,0.8496,30.61,1.02,NULL,NULL,win,NULL,
67,2023-06-05 19:05:33,ATOMUSDT,5m,short,3.17,9.925,9.00065,10.2119,9.31,2.89,9.803,10.217,1.23,2.94,NULL,NULL,loss,NULL,
68,2023-06-05 19:45:38,FILUSDT,5m,short,3.7,4.19,4.0114,4.2375,4.26,1.13,4.137,4.238,1.26,1.15,NULL,NULL,loss,NULL,
69,2023-06-05 19:50:16,ADAUSDT,5m,short,8.15,0.3489,0.26948,0.358495,22.76,2.75,0.2406,0.3569,31.04,2.29,NULL,NULL,win,NULL,
70,2023-06-05 19:50:34,LINAUSDT,5m,long,3.2,0.014552,0.01513245,0.0143734,3.99,1.23,0.014644,0.014337,0.63,1.48,NULL,NULL,loss,NULL,
71,2023-06-05 19:55:33,ATOMUSDT,5m,short,6.84,10.043,9.00655,10.19215,10.32,1.49,9.803,10.194,2.39,1.5,NULL,NULL,loss,NULL,
72,2023-06-05 20:05:27,MAGICUSDT,5m,short,2.94,0.8897,0.853315,0.90186,4.09,1.37,0.8501,0.9005,4.45,1.21,NULL,NULL,win,NULL,
73,2023-06-05 20:05:32,NEARUSDT,5m,short,7.41,1.471,1.3494,1.48715,8.27,1.1,1.47,1.488,0.07,1.16,NULL,NULL,loss,NULL,
74,2023-06-05 20:05:34,ATOMUSDT,5m,short,4.5,9.976,9.0032,10.1888,9.75,2.13,9.803,10.189,1.73,2.14,NULL,NULL,loss,NULL,
75,2023-06-05 20:10:13,BNBUSDT,5m,short,2.01,278.0,269.07,282.37,3.21,1.57,272.1,282.9,2.12,1.76,NULL,NULL,loss,NULL,
76,2023-06-05 20:10:42,JOEUSDT,5m,short,3.25,0.3987,0.38616,0.4025,3.15,0.95,0.3919,0.4206,1.71,5.49,NULL,NULL,loss,NULL,
77,2023-06-05 20:15:25,MAGICUSDT,5m,short,3.9,0.8902,0.85334,0.89951,4.14,1.05,0.8834,0.9005,0.76,1.16,NULL,NULL,loss,NULL,
78,2023-06-05 20:15:33,ATOMUSDT,5m,short,4.36,9.97,9.0029,10.1885,9.7,2.19,9.803,10.189,1.68,2.2,NULL,NULL,loss,NULL,
79,2023-06-05 20:25:26,AVAXUSDT,5m,short,19.35,13.86,12.1785,13.9455,12.13,0.62,13.81,13.95,0.36,0.65,NULL,NULL,loss,NULL,
80,2023-06-05 20:30:23,MATICUSDT,5m,short,4.4,0.8446,0.825505,0.848875,2.26,0.51,0.8411,0.849,0.41,0.52,NULL,NULL,loss,NULL,
81,2023-06-05 20:40:19,OPUSDT,5m,long,3.76,1.353,1.4727,1.32165,8.85,2.32,1.496,1.324,10.57,2.14,NULL,NULL,win,NULL,
82,2023-06-05 20:40:27,ETCUSDT,5m,long,3.29,16.86,17.6865,16.613,4.9,1.47,17.68,14.14,4.86,16.13,NULL,NULL,loss,NULL,
83,2023-06-05 20:45:20,OPUSDT,5m,long,14.88,1.358,1.47295,1.3504,8.46,0.56,1.359,1.349,0.07,0.66,NULL,NULL,loss,NULL,
84,2023-06-05 20:45:43,EDUUSDT,5m,long,5.96,0.97413,1.095654,0.9540565,12.48,2.06,0.9776,0.95394,0.36,2.07,NULL,NULL,loss,NULL,
85,2023-06-05 22:05:16,ADAUSDT,5m,short,19.92,0.3483,0.26945,0.352195,22.64,1.12,0.3476,0.3522,0.2,1.12,NULL,NULL,loss,NULL,
86,2023-06-05 22:30:06,BTCUSDT,5m,short,3.83,25449.25,24874.158,25597.1745,2.26,0.58,25441.6,25602.32,0.03,0.6,NULL,NULL,loss,NULL,
87,2023-06-05 22:30:44,EDUUSDT,5m,short,13.02,0.94097,0.752776,0.9551915,20.0,1.51,0.9388,0.958,0.23,1.81,NULL,NULL,loss,NULL,
88,2023-06-05 22:35:38,SUIUSDT,5m,long,5.06,0.8071,0.881295,0.79266,9.19,1.79,0.8171,0.7902,1.24,2.09,NULL,NULL,loss,NULL,
89,2023-06-05 22:50:16,DOTUSDT,5m,long,8.06,5.058,5.26795,5.03235,4.15,0.51,5.085,5.029,0.53,0.57,NULL,NULL,loss,NULL,
90,2023-06-05 22:50:27,ETCUSDT,5m,long,5.34,16.96,17.9385,16.7795,5.77,1.06,17.03,16.77,0.41,1.12,NULL,NULL,loss,NULL,
91,2023-06-05 23:15:34,GALAUSDT,5m,long,14.81,0.0263,0.029302,0.0261005,11.41,0.76,0.02643,0.0261,0.49,0.76,NULL,NULL,loss,NULL,
92,2023-06-05 23:40:19,DOTUSDT,5m,long,7.54,5.072,5.26865,5.04635,3.88,0.51,5.085,5.046,0.26,0.51,NULL,NULL,loss,NULL,
93,2023-06-05 23:50:39,SUIUSDT,5m,long,6.56,0.8145,0.881665,0.80443,8.25,1.24,0.8171,0.8044,0.32,1.24,NULL,NULL,loss,NULL,
94,2023-06-06 00:05:38,EDUUSDT,5m,short,35.73,0.94322,0.754576,0.9484165,20.0,0.55,0.92294,0.96887,2.15,2.72,NULL,NULL,loss,NULL,
95,2023-06-06 00:10:32,SUSHIUSDT,5m,short,31.62,0.763,0.6104,0.76775,20.0,0.62,0.73,0.768,4.33,0.66,NULL,NULL,loss,NULL,
96,2023-06-06 00:10:41,EDUUSDT,5m,short,20.35,0.93913,0.751304,0.948212,20.0,0.97,0.92294,0.94835,1.72,0.98,NULL,NULL,loss,NULL,
97,2023-06-06 00:20:26,MAGICUSDT,5m,short,5.39,0.8635,0.82132,0.871195,4.88,0.89,0.8501,0.8742,1.55,1.24,NULL,NULL,loss,NULL,
98,2023-06-06 00:20:27,DYDXUSDT,5m,short,16.03,1.995,1.5618,2.0216,21.71,1.33,1.977,2.023,0.9,1.4,NULL,NULL,loss,NULL,
99,2023-06-06 00:35:42,FILUSDT,5m,short,3.18,4.167,4.01025,4.21545,3.76,1.16,4.149,4.243,0.43,1.82,NULL,NULL,loss,NULL,
100,2023-06-06 00:55:35,SUIUSDT,5m,long,5.11,0.8109,0.881485,0.797315,8.7,1.68,0.8161,0.797,0.64,1.71,NULL,NULL,loss,NULL,
101,2023-06-06 10:50:36,LUNAUSDT,5m,short,7.33,0.7736,0.703585,0.783005,9.05,1.22,0.75,0.7848,3.05,1.45,NULL,NULL,loss,NULL,
102,2023-06-06 11:30:41,EDUUSDT,5m,long,11.76,0.973,1.0955975,0.96274,12.6,1.05,1.02483,0.95931,5.33,1.41,NULL,NULL,loss,NULL,
103,2023-06-06 12:30:39,EDUUSDT,5m,long,7.56,0.98972,1.0964335,0.975831,10.78,1.4,1.02131,0.97,3.19,1.99,NULL,NULL,loss,NULL,
104,2023-06-06 12:45:37,GALAUSDT,5m,long,3.51,0.02689,0.0280775,0.0265575,4.42,1.24,0.02721,0.02635,1.19,2.01,NULL,NULL,loss,NULL,
105,2023-06-06 13:25:19,OPUSDT,5m,short,2.46,1.408,1.389,1.4156,1.35,0.54,1.406,1.422,0.14,0.99,NULL,NULL,loss,NULL,
106,2023-06-06 13:45:33,GALAUSDT,5m,long,4.43,0.02706,0.028086,0.026832,3.79,0.84,0.02721,0.02681,0.55,0.92,NULL,NULL,loss,NULL,
107,2023-06-06 13:45:41,JOEUSDT,5m,long,2.86,0.4259,0.43749,0.42191,2.72,0.94,0.4259,0.4217,0.0,0.99,NULL,NULL,loss,NULL,
108,2023-06-06 13:50:41,EDUUSDT,5m,long,6.01,1.01411,1.097653,1.00043,8.24,1.35,1.02131,0.99973,0.71,1.42,NULL,NULL,loss,NULL,
109,2023-06-06 14:00:21,SOLUSDT,5m,short,2.42,19.99,19.686,20.1135,1.52,0.62,19.68,20.02,1.55,0.15,NULL,NULL,win,NULL,
110,2023-06-06 14:30:38,JOEUSDT,5m,short,7.5,0.4155,0.398115,0.41778,4.18,0.55,0.4155,0.4179,0.0,0.58,NULL,NULL,loss,NULL,
111,2023-06-06 14:40:24,MATICUSDT,5m,short,4.19,0.8215,0.801265,0.82625,2.46,0.58,0.8011,0.8231,2.48,0.19,NULL,NULL,win,NULL,
112,2023-06-06 14:45:39,EDUUSDT,5m,short,2.52,0.99693,0.9665015,1.0088145,3.05,1.19,0.96427,1.00275,3.28,0.58,NULL,NULL,win,NULL,
113,2023-06-06 15:10:42,EDUUSDT,5m,short,4.08,0.9954,0.966425,1.0023825,2.91,0.7,0.96427,0.99674,3.13,0.13,NULL,NULL,win,NULL,
114,2023-06-06 15:15:12,ARBUSDT,5m,short,21.72,1.111,0.8888,1.12107,20.0,0.91,1.104,1.1245,0.63,1.22,NULL,NULL,loss,NULL,
115,2023-06-06 15:15:15,LTCUSDT,5m,short,3.82,86.24,83.694,86.8955,2.95,0.76,85.64,87.15,0.7,1.06,NULL,NULL,loss,NULL,
116,2023-06-06 15:15:18,APTUSDT,5m,short,4.03,7.8151,7.16036,7.97489,8.38,2.04,7.6166,8.0277,2.54,2.72,NULL,NULL,loss,NULL,
117,2023-06-06 15:15:21,OPUSDT,5m,short,2.18,1.394,1.36455,1.4073,2.11,0.95,1.383,1.409,0.79,1.08,NULL,NULL,loss,NULL,
118,2023-06-06 15:15:22,DOGEUSDT,5m,short,6.93,0.06614,0.0632615,0.0665485,4.35,0.62,0.06585,0.0666,0.44,0.7,NULL,NULL,loss,NULL,
119,2023-06-06 15:15:28,MAGICUSDT,5m,short,2.99,0.8553,0.82091,0.866605,4.02,1.32,0.851,0.8679,0.5,1.47,NULL,NULL,loss,NULL,
120,2023-06-06 15:15:35,SUSHIUSDT,5m,short,21.84,0.738,0.5904,0.74465,20.0,0.9,0.73,0.745,1.08,0.95,NULL,NULL,loss,NULL,
121,2023-06-06 15:15:36,ATOMUSDT,5m,short,5.11,9.889,9.39595,9.984,4.99,0.96,9.851,9.986,0.38,0.98,NULL,NULL,loss,NULL,
122,2023-06-06 15:15:38,LINAUSDT,5m,short,4.22,0.013888,0.01339875,0.014002,3.52,0.82,0.013792,0.014037,0.69,1.07,NULL,NULL,loss,NULL,
123,2023-06-06 15:15:41,LUNAUSDT,5m,short,3.95,0.7577,0.70279,0.77138,7.25,1.81,0.7503,0.7723,0.98,1.93,NULL,NULL,loss,NULL,
124,2023-06-06 15:15:43,FILUSDT,5m,short,18.0,4.156,3.5651,4.1883,14.22,0.78,4.154,4.189,0.05,0.79,NULL,NULL,loss,NULL,
125,2023-06-06 15:15:45,PEPEUSDT,5m,short,4.06,9.8e-07,7.84e-07,1.0275e-06,20.0,4.85,9.6e-07,1.03e-06,2.04,5.1,NULL,NULL,loss,NULL,
126,2023-06-06 15:15:48,JOEUSDT,5m,short,2.77,0.4107,0.397875,0.41526,3.12,1.11,0.4107,0.4164,0.0,1.39,NULL,NULL,loss,NULL,
127,2023-06-06 15:25:14,LTCUSDT,5m,short,6.07,86.89,83.7265,87.403,3.64,0.59,85.68,87.48,1.39,0.68,NULL,NULL,loss,NULL,
128,2023-06-06 15:25:23,MATICUSDT,5m,short,1.89,0.8129,0.800835,0.81917,1.48,0.77,0.8007,0.8142,1.5,0.16,NULL,NULL,win,NULL,
129,2023-06-06 15:30:18,APTUSDT,5m,short,5.59,7.8549,7.16235,7.97688,8.82,1.55,7.6166,8.0277,3.03,2.2,NULL,NULL,loss,NULL,
130,2023-06-06 15:35:25,MAGICUSDT,5m,short,1.97,0.8605,0.82117,0.880165,4.57,2.29,0.839,0.8857,2.5,2.93,NULL,NULL,loss,NULL,
131,2023-06-06 15:35:41,JOEUSDT,5m,short,3.61,0.4137,0.398025,0.417975,3.79,1.03,0.4082,0.4186,1.33,1.18,NULL,NULL,loss,NULL,
132,2023-06-06 15:40:12,ARBUSDT,5m,short,13.11,1.1139,0.89112,1.13062,20.0,1.5,1.1113,1.1322,0.23,1.64,NULL,NULL,loss,NULL,
133,2023-06-06 15:40:14,LTCUSDT,5m,short,3.59,86.26,83.695,86.963,2.97,0.81,85.68,87.1,0.67,0.97,NULL,NULL,loss,NULL,
134,2023-06-06 15:40:31,ATOMUSDT,5m,short,8.01,9.872,8.998,9.97935,8.85,1.09,9.803,9.993,0.7,1.23,NULL,NULL,loss,NULL,
135,2023-06-06 15:40:33,LINAUSDT,5m,short,5.74,0.013915,0.0134001,0.01400335,3.7,0.63,0.013902,0.014044,0.09,0.93,NULL,NULL,loss,NULL,
136,2023-06-06 15:55:18,LTCUSDT,5m,short,5.79,86.5,83.707,86.975,3.23,0.55,85.68,87.1,0.95,0.69,NULL,NULL,loss,NULL,
137,2023-06-06 16:00:39,SUIUSDT,5m,short,2.19,0.772,0.7511,0.781405,2.71,1.22,0.7553,0.783,2.16,1.42,NULL,NULL,loss,NULL,
138,2023-06-06 16:00:41,LUNAUSDT,5m,short,2.76,0.7565,0.70273,0.77569,7.11,2.54,0.75,0.7762,0.86,2.6,NULL,NULL,loss,NULL,
139,2023-06-06 16:10:15,ADAUSDT,5m,short,25.3,0.345,0.269285,0.347945,21.95,0.85,0.3365,0.3499,2.46,1.42,NULL,NULL,loss,NULL,
140,2023-06-06 16:10:19,APTUSDT,5m,short,5.13,7.7416,7.156685,7.85389,7.56,1.45,7.6166,7.8742,1.61,1.71,NULL,NULL,loss,NULL,
141,2023-06-06 16:10:27,MAGICUSDT,5m,short,1.85,0.8486,0.820575,0.863515,3.3,1.76,0.839,0.8636,1.13,1.77,NULL,NULL,loss,NULL,
142,2023-06-06 16:10:39,LUNAUSDT,5m,short,2.78,0.7566,0.702735,0.775695,7.12,2.52,0.75,0.7762,0.87,2.59,NULL,NULL,loss,NULL,
143,2023-06-06 16:15:38,ATOMUSDT,5m,short,32.96,9.837,7.03735,9.9206,28.46,0.85,9.803,9.921,0.35,0.85,NULL,NULL,loss,NULL,
144,2023-06-06 16:15:45,FILUSDT,5m,short,20.8,4.168,3.5657,4.1965,14.45,0.68,4.143,4.215,0.6,1.13,NULL,NULL,loss,NULL,
145,2023-06-06 16:40:25,DYDXUSDT,5m,short,17.04,1.92,1.55805,1.9409,18.85,1.09,1.919,1.944,0.05,1.25,NULL,NULL,loss,NULL,
146,2023-06-06 16:40:39,JOEUSDT,5m,short,2.1,0.4083,0.397755,0.41324,2.58,1.21,0.4082,0.4146,0.02,1.54,NULL,NULL,loss,NULL,
147,2023-06-06 16:45:30,MASKUSDT,5m,long,1.82,4.173,4.37535,4.06375,4.85,2.62,4.356,4.063,4.39,2.64,NULL,NULL,loss,NULL,
148,2023-06-06 17:00:23,OPUSDT,5m,long,4.43,1.49,1.53275,1.4805,2.87,0.64,1.533,1.49,2.89,0.0,NULL,NULL,win,NULL,
149,2023-06-06 17:05:25,MATICUSDT,5m,long,7.16,0.8113,0.88806,0.800755,9.46,1.3,0.8147,0.8007,0.42,1.31,NULL,NULL,loss,NULL,
150,2023-06-06 17:10:31,ATOMUSDT,5m,long,2.17,10.068,10.21905,9.9996,1.5,0.68,10.079,9.996,0.11,0.72,NULL,NULL,loss,NULL,
151,2023-06-06 17:10:39,EDUUSDT,5m,long,7.07,1.01,1.0974475,0.9978305,8.66,1.2,1.01976,0.99679,0.97,1.31,NULL,NULL,loss,NULL,
152,2023-06-06 17:25:30,ATOMUSDT,5m,long,3.23,10.05,10.21815,9.9987,1.67,0.51,10.219,10.014,1.68,0.36,NULL,NULL,win,NULL,
153,2023-06-06 17:45:25,MATICUSDT,5m,short,2.45,0.8065,0.790445,0.81296,1.99,0.8,0.7994,0.8221,0.88,1.93,NULL,NULL,loss,NULL,
154,2023-06-06 18:15:37,GALAUSDT,5m,short,3.19,0.02716,0.0259915,0.027521,4.3,1.33,0.02704,0.02757,0.44,1.51,NULL,NULL,loss,NULL,
155,2023-06-06 18:15:44,EDUUSDT,5m,short,3.27,0.99134,0.9564085,1.0018375,3.52,1.06,0.97,1.00191,2.15,1.07,NULL,NULL,loss,NULL,
156,2023-06-06 18:20:15,DOTUSDT,5m,short,2.62,5.065,4.989,5.0935,1.5,0.56,5.061,5.098,0.08,0.65,NULL,NULL,loss,NULL,
157,2023-06-06 18:20:23,MAGICUSDT,5m,short,2.39,0.8862,0.85314,0.899785,3.73,1.53,0.8847,0.8998,0.17,1.53,NULL,NULL,loss,NULL,
